Handle,Max Rating_x,Result,Max Rating_y
hefengchen,1931,Yes,1931
tanaka255,1870,Yes,1870
__Shinigami__,1802,Yes,1802
bestial-42-centroids,1802,Yes,1801
codeBegins,1801,Yes,1801
rakkoon69,1861,Yes,1861
thisislike,1801,Yes,1764
CWJ_123,1902,Yes,1902
Dev588,1810,Yes,1810
domovonok,1800,Yes,1800
leaf_node,1804,Yes,1804
ArgintLaAnu,1988,Yes,1988
BrehamPie,1956,Yes,1956
xishui,1798,Yes,1798
ppt1524,1811,Yes,1811
vyshniak.n,1797,Yes,1769
tejpavan,1795,Yes,1795
Kev2103,1793,Yes,1743
HoangViet,1803,Yes,1803
0Oo.oO0,1791,Yes,1791
LoveM_ilk,1791,Yes,1791
waiiting,1838,Yes,1838
Shielder,1849,Yes,1849
de_coding_life,1853,Yes,1853
M.UmairAhmadMirza,1797,Yes,1797
an_interesting_name,1844,Yes,1844
Phyus003,1788,Yes,1788
ZzRuiKai,1872,Yes,1872
rabbit3,1788,Yes,1788
Inri,1895,Yes,1895
lenhanboofficial,1907,Yes,1907
A_Very_Serious_Man,1827,Yes,1827
Bogdan_fake,1794,Yes,1794
ForgotDream_CHN,1785,Yes,1751
Mispertion,1842,Yes,1842
jtmaster1000,1838,Yes,1838
FedeNQ,1985,Yes,1985
Satinii,1917,Yes,1917
Sortt,1829,Yes,1829
rahul4005,1785,Yes,1785
2021404292,1783,Yes,1783
Aman113114_Bansal,1857,Yes,1857
pushpavel,1783,Yes,1730
Hazzu,1867,Yes,1867
mukulrawat_03,1974,Yes,1974
reyaan44,1958,Yes,1958
temp_tamora,1882,Yes,1882
AmXasm,1812,Yes,1812
rahulagrawal0744,1816,Yes,1816
WangQ,1776,Yes,1696
tvladm,1776,Yes,1695
YangMofan,1815,Yes,1815
sunnygreen,1874,Yes,1874
Circling,1772,Yes,1748
cylyyds123,1772,Yes,1772
dush1729,1894,Yes,1894
Yarn,2030,Yes,2030
null0124,2013,Yes,2013
A_Nafees,1866,Yes,1866
M-Manas-s,1770,Yes,1770
MapleLeafLover,1814,Yes,1814
Radan,1812,Yes,1812
_Dio,1769,Yes,1769
hndcmm,1879,Yes,1879
franv,1961,Yes,1961
unbengable,1809,Yes,1809
Sanjay422,1937,Yes,1937
March_April,1765,Yes,1765
Tahsin13,1874,Yes,1874
chenhongrui,1765,Yes,1765
Vistarin,1793,Yes,1793
Contesting_pov,1763,Yes,1763
dasha..zhilina,1770,Yes,1770
CoderAbhi27,1761,Yes,1698
rulerofcakes,1758,Yes,1749
ChiMasterBing,1759,Yes,1759
HornyYui,1758,Yes,1758
farhan95104,1769,Yes,1769
momen159,1925,Yes,1925
gugg,1805,Yes,1805
hackerjohn,1771,Yes,1771
Noob_smallpeter,1801,Yes,1801
Insta-x,1870,Yes,1870
Siriushfgame,1781,Yes,1781
AsterWei,1812,Yes,1812
Eslam_Saleh,1752,Yes,1752
trinhtung2007,1752,Yes,1752
KasumiUtaha,1751,Yes,1751
KlayThompson11,1886,Yes,1886
X_F_H,1751,Yes,1751
dimasik06,1776,Yes,1776
Short_Bit,1913,Yes,1913
The_Piranha,1750,Yes,1750
ego_death,1849,Yes,1849
ringup,1812,Yes,1812
ELDRVD,1819,Yes,1819
kh0i,1749,Yes,1749
Sovi_11,1812,Yes,1812
LeNcyer,1797,Yes,1797
Wy_g,1878,Yes,1878
ajstyle_,1761,Yes,1761
OobugoO,1745,Yes,1734
zhua_jhin,1745,Yes,1745
Mikazuki_Munechika,1928,Yes,1928
drath10,1985,Yes,1985
danx,1936,Yes,1936
lobisomem_pidao,1743,Yes,1743
lsxhyyds,1789,Yes,1789
cur,2001,Yes,2001
ivna,1854,Yes,1854
ahhde,1830,Yes,1830
Pretest2,1756,Yes,1756
huawu,1739,Yes,1739
Bator069,1738,Yes,1738
haku_suki,1738,Yes,1738
