Handle,Max Rating_x,Result,Max Rating_y
Razvan_Rotaru,1916,Yes,1916
Only_Gift,1812,Yes,1812
Radan,1812,Yes,1812
18071500932,1807,Yes,1807
30rakirs,1866,Yes,1866
berr,2100,Yes,2100
cr7ro,1812,Yes,1812
franv,1961,Yes,1961
sleepwalking643,1877,Yes,1877
koneco,1885,Yes,1885
ammar_shaikh,2094,Yes,2094
Aurora_Wind,1893,Yes,1893
MacneilOnTable,1871,Yes,1871
666EGOR777,1893,Yes,1893
Mihai999,1800,Yes,1800
ahmad_alghadban,2127,Yes,2127
124q,1943,Yes,1943
Cleary,1878,Yes,1878
figdan,2017,Yes,2017
Pervushev,1868,Yes,1868
0x0000,1805,Yes,1805
Ahmed_Aladdin,1807,Yes,1807
adwsaef,1852,Yes,1852
eklavya_k,1837,Yes,1837
Palestinian_Tornado,1863,Yes,1863
LFYao,1804,Yes,1804
Wy_g,1878,Yes,1878
GennadiySosnov,1859,Yes,1859
Zhuangpx,1866,Yes,1866
drath10,1985,Yes,1985
Mayur9agt,2033,Yes,2033
Wolowitz,1842,Yes,1842
AgOH,1841,Yes,1841
dyktr_06,2041,Yes,2041
juruoA,1956,Yes,1956
TrappedGhost,1820,Yes,1820
chmpy,1801,Yes,1801
naumovRD,1802,Yes,1802
Chaska,1948,Yes,1948
Saanteye,1875,Yes,1875
m_vid,1809,Yes,1809
Cornflakes,2132,Yes,2132
dajeff,1819,Yes,1819
UltraFalcon,1841,Yes,1841
wtc,2011,Yes,2011
SmuggingSpun,1901,Yes,1901
steven2022,1976,Yes,1976
xmucp,1843,Yes,1843
tgp07,1841,Yes,1841
invincible777,1853,Yes,1853
jacek.karol.rak,1814,Yes,1814
__Secret,1814,Yes,1814
sloppy_coder,1847,Yes,1847
IanISam,1961,Yes,1961
Light_KG,1835,Yes,1835
